matrix_key,kappa,floor_h,usable_voters,B_size,cell_slack_float,supports,certificate_type,committee,deficit_voter,singleton_margin,worst_price_margin,certificate_detail
28206739439165,3,1 1 2 1 2 2 1 2,1 2 3 4 5 6 7,7,0.0769230769231,3568 | 1256 | 1348 | 23578 | 23678 | 45678,fixed coalitionwise price-saturation,1 3 5,5,1/8,1/3,65 coalition domains; 7 x-vertices; 4 base dual vertices
28274352152120,3,1 2 1 1 2 2 1 1,1 2 3 4 5 6,6,0.0769230769231,256 | 124 | 1356 | 23578 | 23678 | 45678,fixed coalitionwise price-saturation,1 2 5,5,1/8,5/7,34 coalition domains; 7 x-vertices; 3 base dual vertices
28275407793464,3,1 2 2 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0769230769231,234 | 126 | 137 | 2358 | 23678 | 45678,fixed coalitionwise price-saturation,1 2 5,5,1/12,1/4,87 coalition domains; 7 x-vertices; 3 base dual vertices
28275408292912,3,1 2 2 1 1 1 1 1,1 2 3 4 5 6,6,0.0909090909091,234 | 125 | 136 | 2356 | 2378 | 45678,fixed coalitionwise price-saturation,1 2 5,6,1/12,1/3,106 coalition domains; 7 x-vertices; 4 base dual vertices
28275560103224,3,1 2 2 1 2 2 1 1,1 2 3 4 5 6 7 8,8,0.0909090909091,2356 | 1246 | 1357 | 23458 | 23678 | 45678,fixed coalitionwise price-saturation,1 2 3,8,1/12,1/4,113 coalition domains; 11 x-vertices; 5 base dual vertices
40563122536124,3,1 1 1 1 0 2 2 2,1 2 3 4 6 7 8,7,0.0769230769231,136 | 2467 | 2468 | 1278 | 3478 | 5678,fixed coalitionwise price-saturation,1 3 6,7,1/8,1/4,112 coalition domains; 7 x-vertices; 4 base dual vertices
40783476337852,3,1 1 2 1 2 1 1 2,1 2 3 5 6 7 8,7,0.0769230769231,125 | 3567 | 3458 | 1368 | 2378 | 45678,fixed coalitionwise price-saturation,1 2 3,8,1/8,1/3,113 coalition domains; 7 x-vertices; 4 base dual vertices
40841510579320,3,1 1 1 2 2 2 1 1,1 2 3 4 7 8,6,0.0833333333333,147 | 2456 | 3456 | 1568 | 2378 | 45678,fixed coalitionwise price-saturation,1 2 4,3,1/12,1/3,99 coalition domains; 7 x-vertices; 4 base dual vertices
41193597250874,3,1 2 1 1 2 1 1 2,1 2 3 4 5 7 8,7,0.0769230769231,124 | 2568 | 2357 | 1358 | 23678 | 45678,fixed coalitionwise price-saturation,1 2 3,8,1/8,1/3,97 coalition domains; 7 x-vertices; 4 base dual vertices
41195758886462,3,1 2 2 1 1 1 1 2,1 2 3 4 5 6 7,7,0.0769230769231,126 | 2348 | 2358 | 1378 | 23678 | 45678,fixed coalitionwise price-saturation,1 3 4,4,1/12,1/6,92 coalition domains; 7 x-vertices; 4 base dual vertices
44830462529081,3,1 1 2 2 1 1 1 2,1 2 3 4 5 6 8,7,0.0769230769231,348 | 1345 | 2346 | 1278 | 35678 | 45678,fixed coalitionwise price-saturation,1 3 4,5,1/8,1/2,90 coalition domains; 7 x-vertices; 3 base dual vertices
44830462529145,3,1 1 2 2 1 1 2 2,1 2 3 4 5 6,6,0.1,3478 | 1345 | 2346 | 1278 | 35678 | 45678,fixed coalitionwise price-saturation,1 2 4,6,1/8,11/21,93 coalition domains; 7 x-vertices; 4 base dual vertices
